"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"cpuacct_charge","0.00100446","0","0","0","0","0","0","vmlinux","cpuacct_charge","[Unknown]","0xffffffff9bb3d3f0"
"lock_vma_under_rcu","0.00100446","0","","0","3921428","0","5","vmlinux","lock_vma_under_rcu","[Unknown]","0xffffffff9bd73fb0"
"_raw_spin_lock_irqsave","0.00100446","0","0","0","0","0","0","vmlinux","_raw_spin_lock_irqsave","[Unknown]","0xffffffff9c6f79f0"
"common_interrupt_return","0.00100446","0.333333","0","12744641","0","0","5","vmlinux","common_interrupt_return","[Unknown]","0xffffffff9c801830"
"do_user_addr_fault","0.00100446","0","0","3921428","6862499","0","5","vmlinux","do_user_addr_fault","[Unknown]","0xffffffff9baa1db0"
"__folio_throttle_swaprate","0.00100446","1","0","1960714","980357","0","0","vmlinux","__folio_throttle_swaprate","[Unknown]","0xffffffff9bdc8b40"
"folio_add_lru_vma","0.00100446","0","0","2941071","0","0","0","vmlinux","folio_add_lru_vma","[Unknown]","0xffffffff9bd2e6f0"
"handle_mm_fault","0.00100446","0","0","8823213","8823213","0","5","vmlinux","handle_mm_fault","[Unknown]","0xffffffff9bd7acb0"
"__tlb_remove_folio_pages","0.00100446","0","0","5882142","1960714","0","0","vmlinux","__tlb_remove_folio_pages","[Unknown]","0xffffffff9bd83ad0"
"__tlb_batch_free_encoded_pages","0.00100446","0","0","0","0","0","0","vmlinux","__tlb_batch_free_encoded_pages","[Unknown]","0xffffffff9bd839c0"
"flush_tlb_mm_range","0.00100446","1","0","5882142","6862499","0","5","vmlinux","flush_tlb_mm_range","[Unknown]","0xffffffff9baa60c0"
"__printf_buffer_flush_to_file","0.00100446","0","0","0","0","0","0","libc.so.6","__printf_buffer_flush_to_file","printf_buffer_to_file.c","0x599d0"
"mas_walk","0.00100446","0","0","11764284","6862499","0","6.11111","vmlinux","mas_walk","[Unknown]","0xffffffff9c66d9e0"
"intel_pmu_handle_irq","0.00100446","0","0","0","1960714","0","0","vmlinux","intel_pmu_handle_irq","[Unknown]","0xffffffff9ba1c640"
"page_counter_uncharge","0.00100446","0","0","1960714","1960714","0","0","vmlinux","page_counter_uncharge","[Unknown]","0xffffffff9be08fc0"
"folio_remove_rmap_ptes","0.00100446","0","0","24508925","19607140","0","0","vmlinux","folio_remove_rmap_ptes","[Unknown]","0xffffffff9bd8ea70"
"merge_implicants_bits6","0","0","0","980357","1960714","0","0","prime_implicants","merge_implicants_bits6","bits.c","0x43c7"
"func@0x20d0","0","","0","4901785","0","0","5","prime_implicants","func@0x20d0","[Unknown]","0x20d0"
"update_curr","0","0","","0","0","0","0","vmlinux","update_curr","[Unknown]","0xffffffff9bb15e70"
"folio_alloc_mpol_noprof","0","0","0","980357","0","0","0","vmlinux","folio_alloc_mpol_noprof","[Unknown]","0xffffffff9bdde990"
"__fpu_restore_sig","0","0","0","0","0","0","5","vmlinux","__fpu_restore_sig","[Unknown]","0xffffffff9ba52540"
"lru_add_drain","0","0","0","0","325111","0","0","vmlinux","lru_add_drain","[Unknown]","0xffffffff9bd2ea50"
"folio_zero_user","0","1","0","0","980357","0","0","vmlinux","folio_zero_user","[Unknown]","0xffffffff9bd77e50"
"get_align_mask","0","0","0","325111","0","0","0","vmlinux","get_align_mask","[Unknown]","0xffffffff9ba48100"
"native_sched_clock","0","0","0","6862499","0","0","5","vmlinux","native_sched_clock","[Unknown]","0xffffffff9c6e69b0"
"pte_val","0","0","0","3921428","0","0","0","vmlinux","pte_val","[Unknown]","0xffffffff9bd6c7b0"
"sched_tick","0","0","0","0","0","0","0","vmlinux","sched_tick","[Unknown]","0xffffffff9bb120d0"
"folio_lruvec_lock_irqsave","0","0","0","0","980357","0","0","vmlinux","folio_lruvec_lock_irqsave","[Unknown]","0xffffffff9be0df80"
"exc_nmi","0","0","","0","980357","0","0","vmlinux","exc_nmi","[Unknown]","0xffffffff9c6e6530"
"arch_get_unmapped_area_topdown","0","0","0","325111","0","0","0","vmlinux","arch_get_unmapped_area_topdown","[Unknown]","0xffffffff9ba48470"
"merge_implicants_bits3","0","0","0","0","980357","0","0","prime_implicants","merge_implicants_bits3","bits.c","0x4879"
"__memcg_kmem_charge_page","0","0","0","0","980357","0","0","vmlinux","__memcg_kmem_charge_page","[Unknown]","0xffffffff9be0f330"
"fpregs_assert_state_consistent","0","0","0","1960714","0","0","5","vmlinux","fpregs_assert_state_consistent","[Unknown]","0xffffffff9ba50450"
"merge_implicants_bits5","0","0","0","980357","0","0","0","prime_implicants","merge_implicants_bits5","bits.c","0x5093"
"do_anonymous_page","0","0.666667","0","2941071","4901785","0","5","vmlinux","do_anonymous_page","[Unknown]","0xffffffff9bd78030"
"propagate_protected_usage","0","0","0","980357","0","0","0","vmlinux","propagate_protected_usage","[Unknown]","0xffffffff9be08d50"
"mksaveddirty_shift","0","0","0","980357","0","0","0","vmlinux","mksaveddirty_shift","[Unknown]","0xffffffff9bd6c8f0"
"intel_bts_disable_local","0","0","0","0","0","0","5","vmlinux","intel_bts_disable_local","[Unknown]","0xffffffff9ba1e420"
"kmem_cache_alloc_noprof","0","0","0","0","325111","0","0","vmlinux","kmem_cache_alloc_noprof","[Unknown]","0xffffffff9bdb9420"
"irqentry_enter_from_user_mode","0","0","0","3921428","0","0","0","vmlinux","irqentry_enter_from_user_mode","[Unknown]","0xffffffff9c6e9a30"
"free_swap_cache","0","0","0","1960714","0","0","0","vmlinux","free_swap_cache","[Unknown]","0xffffffff9bdc0a20"
"p4d_offset","0","0","0","980357","0","0","0","vmlinux","p4d_offset","[Unknown]","0xffffffff9bd6ce10"
"update_load_avg","0","0","0","0","0","0","0","vmlinux","update_load_avg","[Unknown]","0xffffffff9bb16270"
"ct_nmi_enter","0","0","0","0","980357","0","0","vmlinux","ct_nmi_enter","[Unknown]","0xffffffff9c6ea230"
"trace_rss_stat","0","0","0","0","0","0","5","vmlinux","trace_rss_stat","[Unknown]","0xffffffff9bd6ca10"
"__mod_zone_page_state","0","0","0","11764284","17646426","0","0","vmlinux","__mod_zone_page_state","[Unknown]","0xffffffff9bd4dd20"
"__list_add_valid_or_report","0","","0","8823213","0","0","0","vmlinux","__list_add_valid_or_report","[Unknown]","0xffffffff9c0a5b60"
"access_error","0","0","0","4901785","0","0","5","vmlinux","access_error","[Unknown]","0xffffffff9baa12c0"
