"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Average Latency (cycles)","Module","Function (Full)","Source File","Start Address"
"_mm256_and_si256","0.0421875","0","0","8311284","0","0","0","prime_implicants","_mm256_and_si256","avx2intrin.h","0x3437"
"_mm256_and_si256","0.041183","0","0","0","0","0","0","prime_implicants","_mm256_and_si256","avx2intrin.h","0x352c"
"do_anonymous_page","0.0401786","1","0","18839691","14592482","0","5","vmlinux","do_anonymous_page","[Unknown]","0xffffffff9bd78030"
"_mm256_slli_epi64","0.0381696","0","0","0","0","0","0","prime_implicants","_mm256_slli_epi64","avx2intrin.h","0x3594"
"_mm256_or_si256","0.0341518","0.0833333","0","68707395","0","0","5","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3686"
"_mm256_and_si256","0.0341518","0","0","0","0","0","0","prime_implicants","_mm256_and_si256","avx2intrin.h","0x350a"
"leading_stars","0.0321429","0","0","6464332","0","0","0","prime_implicants","leading_stars","common.h","0x3b30"
"binomial_coefficient","0.0301339","0.0833333","0","73878080","0","0","5","prime_implicants","binomial_coefficient","util.h","0x3b5f"
"prime_implicants_avx2","0.0291295","0.3","0","8311284","12928664","0","5","prime_implicants","prime_implicants_avx2","avx2.c","0x3960"
"_mm256_and_si256","0.028125","0","0","37862516","0","0","5","prime_implicants","_mm256_and_si256","avx2intrin.h","0x344c"
"__mcount_internal","0.0271205","0.125","0","39709468","94194552","0","5","libc.so.6","__mcount_internal","mcount.c","0x113d20"
"__pte_offset_map_lock","0.0261161","1","0","4987551","10528407","0","5","vmlinux","__pte_offset_map_lock","[Unknown]","0xffffffff9bd8c140"
"_mm256_and_si256","0.0251116","0","0","0","0","0","0","prime_implicants","_mm256_and_si256","avx2intrin.h","0x34a6"
"_mm256_or_si256","0.0231027","0","0","0","0","0","0","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3523"
"do_wp_page","0.0220982","1","","19392996","21239948","0","5","vmlinux","do_wp_page","[Unknown]","0xffffffff9bd71df0"
"_mm256_store_si256","0.0210938","0","","0","19392996","0","0","prime_implicants","_mm256_store_si256","avxintrin.h","0x3698"
"native_flush_tlb_one_user","0.0210938","0","","3693904","923476","0","5","vmlinux","native_flush_tlb_one_user","[Unknown]","0xffffffff9baa63e0"
"_mm256_srli_epi64","0.0200893","0","","0","0","0","0","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x356e"
"_mm256_and_si256","0.0190848","0","0","0","0","0","0","prime_implicants","_mm256_and_si256","avx2intrin.h","0x34f9"
"__handle_mm_fault","0.0190848","0","0","19392996","24933852","0","4.86645","vmlinux","__handle_mm_fault","[Unknown]","0xffffffff9bd79d00"
"__rmqueue_pcplist","0.0190848","0.2","","25304023","45620495","0","5.36364","vmlinux","__rmqueue_pcplist","[Unknown]","0xffffffff9bda36e0"
"get_page_from_freelist","0.0190848","0","","71481726","57259415","0","5","vmlinux","get_page_from_freelist","[Unknown]","0xffffffff9bda5720"
"_mm256_srli_epi64","0.0180804","0","","0","0","0","0","prime_implicants","_mm256_srli_epi64","avx2intrin.h","0x3552"
"_mm256_permute4x64_epi64","0.0170759","0","0","0","0","0","0","prime_implicants","_mm256_permute4x64_epi64","avx2intrin.h","0x358a"
"_mm256_srli_si256","0.0170759","0","0","0","0","0","0","prime_implicants","_mm256_srli_si256","avx2intrin.h","0x357d"
"lru_gen_add_folio","0.015067","0.166667","","16992739","21610119","0","5","vmlinux","lru_gen_add_folio","[Unknown]","0xffffffff9bd2c440"
"mas_walk","0.0140625","0","0","22350461","12928664","0","5","vmlinux","mas_walk","[Unknown]","0xffffffff9c66d9e0"
"flush_tlb_mm_range","0.0140625","0","0","5911027","5540856","0","5","vmlinux","flush_tlb_mm_range","[Unknown]","0xffffffff9baa60c0"
"__pte_offset_map","0.0120536","0.444444","0","12375359","7387808","0","5","vmlinux","__pte_offset_map","[Unknown]","0xffffffff9bd8bee0"
"__rcu_read_lock","0.0110491","0.75","","36939040","11451883","0","4.28571","vmlinux","__rcu_read_lock","[Unknown]","0xffffffff9bb73e50"
"__rcu_read_unlock","0.0110491","0.5","0","33615307","9975102","0","5","vmlinux","__rcu_read_unlock","[Unknown]","0xffffffff9bb770a0"
"_mm256_and_si256","0.0110491","0","","0","0","0","0","prime_implicants","_mm256_and_si256","avx2intrin.h","0x34b9"
"handle_mm_fault","0.0100446","0","","15699092","11081712","0","5","vmlinux","handle_mm_fault","[Unknown]","0xffffffff9bd7acb0"
"get_mem_cgroup_from_mm","0.0100446","0.142857","0","923476","3693904","0","0","vmlinux","get_mem_cgroup_from_mm","[Unknown]","0xffffffff9be0b780"
"__mod_memcg_lruvec_state","0.0100446","0","","44147617","28074451","0","4.31818","vmlinux","__mod_memcg_lruvec_state","[Unknown]","0xffffffff9be0b0e0"
"__lruvec_stat_mod_folio","0.0100446","1","0","12928664","5727893","0","5","vmlinux","__lruvec_stat_mod_folio","[Unknown]","0xffffffff9be0b6a0"
"_mm256_or_si256","0.0100446","0","0","0","0","0","0","prime_implicants","_mm256_or_si256","avx2intrin.h","0x3557"
"folio_batch_move_lru","0.00904018","0.5","0","8681455","2770428","0","0","vmlinux","folio_batch_move_lru","[Unknown]","0xffffffff9bd2dde0"
"irqentry_exit_to_user_mode","0.00904018","0","0","4617380","6464332","0","5","vmlinux","irqentry_exit_to_user_mode","[Unknown]","0xffffffff9c6e9ae0"
"do_user_addr_fault","0.00803571","0","0","7387808","17546044","0","5","vmlinux","do_user_addr_fault","[Unknown]","0xffffffff9baa1db0"
"lock_vma_under_rcu","0.00803571","0","0","3693904","7757979","0","5","vmlinux","lock_vma_under_rcu","[Unknown]","0xffffffff9bd73fb0"
"prep_new_page","0.00803571","1","0","9604931","5540856","0","0","vmlinux","prep_new_page","[Unknown]","0xffffffff9bd9fce0"
"try_charge_memcg","0.00803571","0","0","7757979","13852140","0","5","vmlinux","try_charge_memcg","[Unknown]","0xffffffff9be0e870"
"_mm256_castsi256_si128","0.00703125","0","0","0","0","0","0","prime_implicants","_mm256_castsi256_si128","avxintrin.h","0x3708"
